,City,Country,Latitude,Longitude,Cloudiness,Date,Humidity,Max Temp,Wind Speed
376,Sao Gabriel da Cachoeira,BR,-0.13,-67.09,56,1551738156,93,79.1,5.5
377,Omsukchan,RU,62.53,155.8,64,1551738157,68,-7.3,5.73
378,Sorong,ID,-0.86,131.25,80,1551737993,100,80.5,6.62
379,Quang Ngai,VN,15.12,108.8,0,1551738157,91,61.6,2.04
380,Codajas,BR,-3.84,-62.06,12,1551738149,82,84.82,4.05
381,Srednekolymsk,RU,67.46,153.71,80,1551738158,59,-12.84,3.83
382,Conceicao do Araguaia,BR,-8.26,-49.26,68,1551738029,86,81.4,5.5
383,Port Victoria,AU,-34.5,137.49,12,1551738158,100,62.45,7.07
384,Turinsk,RU,58.04,63.7,76,1551738159,87,15.7,4.5
385,Shelburne,CA,44.08,-80.2,40,1551738130,51,15.01,12.75
386,Vestmannaeyjar,IS,63.44,-20.27,0,1551737897,100,30.55,6.62
387,Vardo,US,39.62,-77.74,20,1551737924,37,37.99,11.41
388,Sept-Iles,CA,50.2,-66.38,90,1551737905,92,26.01,10.29
389,Ahipara,NZ,-35.17,173.16,8,1551732771,99,68.0,3.0
390,Boueni,YT,-12.9,45.08,20,1551736800,83,82.4,6.93
391,Ponta Delgada,PT,37.73,-25.67,75,1551735000,93,62.6,20.8
392,Mitsamiouli,KM,-11.38,43.28,20,1551733200,83,78.8,5.82
393,Codrington,AU,-28.95,153.24,100,1551737973,88,71.6,5.82
394,Linfen,CN,36.09,111.52,12,1551738162,81,31.63,2.04
395,Yazoo City,US,32.86,-90.41,40,1551737884,59,37.4,8.05
396,Quarai,BR,-30.39,-56.45,48,1551738162,51,89.27,8.3
397,Mackenzie,CA,55.34,-123.09,1,1551733200,48,17.6,10.29
398,Bud,NO,62.91,6.91,40,1551737834,100,33.8,13.87
399,Ancud,CL,-41.87,-73.83,75,1551736800,71,55.4,10.29
400,Camacha,PT,33.08,-16.33,40,1551735000,88,62.6,6.93
401,Wuzhou,CN,23.48,111.3,88,1551738164,96,67.4,8.19
402,Mahdalynivka,UA,48.92,34.92,0,1551736800,84,35.6,11.18
403,Makokou,GA,0.56,12.85,36,1551738164,90,73.75,2.71
404,Melfi,IT,41.0,15.66,40,1551732900,86,53.6,28.86
405,Selikhino,RU,50.37,137.51,0,1551738165,63,0.22,2.59
406,Natal,BR,-5.81,-35.21,40,1551736800,88,78.8,4.7
407,Aswan,EG,24.09,32.9,0,1551733200,20,62.6,11.41
408,Jinka,ET,5.79,36.57,0,1551738166,85,62.45,1.59
409,Jiaocheng,CN,24.68,116.14,76,1551738169,75,54.49,3.6
410,Puerto del Rosario,ES,28.5,-13.86,75,1551736800,72,64.4,16.11
411,Burnie,AU,-41.05,145.91,68,1551738064,82,64.0,1.99
412,Kaitangata,NZ,-46.28,169.85,0,1551738098,58,72.0,5.99
413,Huasahuasi,PE,-11.27,-75.65,48,1551738175,58,56.83,2.15
414,Port Augusta,AU,-32.49,137.76,80,1551737923,72,72.0,12.75
415,Bilma,NE,18.69,12.92,0,1551738175,21,59.03,8.41
416,Boda,BD,26.2,88.56,0,1551738176,93,58.09,6.62
417,Honiara,SB,-9.43,159.96,12,1551738176,92,78.25,1.81
418,Manokwari,ID,-0.87,134.08,24,1551738176,98,80.27,5.28
419,Jaynagar-Majilpur,IN,22.18,88.42,75,1551735000,94,71.6,6.93
420,Evensk,RU,61.92,159.24,88,1551738034,100,5.98,5.95
421,Aguimes,ES,27.91,-15.45,40,1551738036,63,64.4,17.22
422,Slave Lake,CA,55.28,-114.77,1,1551733200,56,15.8,13.87
423,Fairbanks,US,64.84,-147.72,1,1551738046,92,28.99,3.36
424,Kushima,JP,31.5,131.29,20,1551737610,81,42.8,8.05
425,Alofi,NU,-19.06,-169.92,75,1551736800,74,82.4,14.99
426,Tiznit,MA,29.7,-9.73,0,1551738179,96,56.2,3.38
427,Magistralnyy,RU,56.17,107.45,0,1551738179,64,-1.14,2.48
428,Pozo Colorado,PY,-23.49,-58.8,0,1551738179,45,95.75,14.56
429,General Roca,AR,-39.03,-67.58,0,1551733200,21,75.2,17.22
430,Santa Rosa,AR,-36.62,-64.29,0,1551738183,31,80.63,6.4
431,Kirakira,SB,-10.46,161.92,44,1551738183,100,80.86,5.17
432,Dawlatabad,AF,36.41,64.91,0,1551738184,77,34.73,3.6
433,Egvekinot,RU,66.32,-179.17,80,1551738184,92,27.08,8.52
434,Mitchell,US,43.71,-98.03,1,1551738011,60,10.4,20.8
435,Moose Factory,CA,51.26,-80.61,90,1551736800,50,6.8,10.29
436,Westport,IE,53.8,-9.52,75,1551738124,93,45.0,6.93
437,La Paz,MX,24.15,-110.32,5,1551736811,36,86.0,13.87
438,Tiarei,PF,-17.53,-149.33,20,1551737608,62,87.8,9.17
439,Berezovyy,RU,51.67,135.7,0,1551738186,51,-4.65,2.15
440,Payo,ID,-3.75,103.64,92,1551737962,94,72.49,3.15
441,Kota Tinggi,MY,1.73,103.9,75,1551737820,88,78.8,3.36
442,Kushiro,JP,43.11,144.15,75,1551735900,92,24.8,2.24
443,Eucaliptus,BO,-17.6,-67.51,75,1551736800,41,59.0,14.99
444,Dauriya,RU,49.93,116.85,76,1551738188,78,17.0,5.61
445,Tecoanapa,MX,16.99,-99.26,40,1551735960,70,84.2,10.29
446,Hervey Bay,AU,-25.3,152.85,90,1551737709,83,79.0,11.41
447,Tautira,PF,-17.73,-149.15,20,1551737608,62,87.8,9.17
448,Devils Lake,US,48.11,-98.87,75,1551737700,77,8.6,25.28
449,Valparaiso,US,41.47,-87.06,1,1551738061,43,16.0,16.11
450,Maputo,MZ,-25.97,32.57,20,1551736800,88,80.01,12.75
451,Aksu,KZ,52.04,76.93,0,1551735000,78,17.6,15.66
452,Yulara,AU,-25.24,130.99,0,1551733200,28,73.4,6.93
453,Nouadhibou,MR,20.93,-17.03,0,1551733200,72,66.2,16.11
454,Araouane,ML,18.9,-3.53,0,1551738191,26,61.33,4.05
455,Nishihara,JP,35.74,139.53,90,1551738167,93,46.99,3.36
456,Grootfontein,NA,-19.56,18.1,88,1551738192,37,78.97,4.16
457,Jaynagar,IN,26.59,86.14,0,1551738192,79,57.28,4.27
458,Orzhytsya,UA,49.79,32.7,8,1551738192,85,37.48,10.98
459,Praia da Vitoria,PT,38.73,-27.07,75,1551737762,88,62.6,33.58
460,Eyl,SO,7.98,49.82,92,1551738193,96,77.62,12.55
461,Vanimo,PG,-2.67,141.3,64,1551737635,100,82.21,12.77
462,Kungurtug,RU,50.6,97.53,68,1551737921,65,3.55,2.48
463,Carballo,ES,43.21,-8.69,20,1551738153,76,53.01,9.17
464,Katherine,AU,-14.47,132.26,90,1551735000,88,75.2,4.7
465,Jacareacanga,BR,-6.22,-57.76,0,1551733200,79,84.2,3.36
466,Mahebourg,MU,-20.41,57.7,40,1551737945,78,80.6,6.93
467,Zarand,IR,30.81,56.57,0,1551733200,35,42.8,6.93
468,Tipaturu,IN,13.26,76.47,48,1551738195,69,71.14,6.96
469,Enid,US,36.4,-97.88,75,1551737808,48,23.0,11.41
470,Ballina,IE,54.11,-9.15,75,1551738124,93,45.0,6.93
471,Tumsar,IN,21.38,79.75,0,1551738196,48,70.73,8.86
472,Ayan,TR,40.67,33.6,0,1551738197,67,18.94,1.03
473,Cedar City,US,37.68,-113.06,40,1551737702,80,43.0,4.7
474,San Andres,PH,13.32,122.68,0,1551738197,100,78.38,13.22
475,Chusovoy,RU,58.28,57.82,56,1551738198,76,6.52,6.06
476,Mogzon,RU,51.74,111.97,0,1551738198,63,11.15,4.61
477,Gazanjyk,TM,39.24,55.52,56,1551738198,91,41.12,6.62
478,Faya,SA,18.39,42.45,0,1551733200,33,59.0,4.7
479,Luba,PH,17.32,120.7,0,1551738199,80,59.71,2.71
480,Taksimo,RU,56.36,114.84,0,1551738199,60,-4.92,1.7
481,Berwick,US,41.06,-76.25,1,1551738198,42,32.0,9.17
482,Bubaque,GW,11.28,-15.83,0,1551738200,75,83.47,9.86
483,Paamiut,GL,61.99,-49.67,48,1551738200,100,26.59,8.97
484,La Ronge,CA,55.1,-105.3,20,1551736800,44,21.2,12.75
485,Ikongo,MG,-21.88,47.44,36,1551738201,93,66.91,2.48
486,Esperance,TT,10.24,-61.45,20,1551737804,100,84.2,13.87
487,Xai-Xai,MZ,-25.04,33.64,12,1551738201,91,81.58,14.9
488,Tateyama,JP,36.66,137.31,75,1551738003,93,42.01,2.24
489,Eenhana,NA,-17.48,16.34,0,1551736800,39,80.6,2.24
490,Pombas,BR,-15.9,-54.74,32,1551738202,71,82.43,8.52
491,Cayenne,GF,4.94,-52.33,100,1551736800,74,80.6,8.05
492,Korem,ET,12.51,39.52,20,1551738203,78,52.42,0.13
493,Tosham,IN,28.87,75.92,0,1551738203,95,51.43,4.61
494,Staroye Drozhzhanoye,RU,54.73,47.56,76,1551738204,85,20.92,5.73
495,Whitehorse,CA,60.72,-135.06,20,1551738188,51,17.01,3.36
496,Knurow,PL,50.22,18.65,40,1551738176,61,48.99,17.22
497,Beringovskiy,RU,63.05,179.32,8,1551738205,83,29.78,19.04
498,Aleksandrovka,RU,46.65,38.4,92,1551738205,83,36.76,19.71
499,Fraserburgh,GB,57.69,-2.02,48,1551738003,69,39.99,6.93
500,Abu Dhabi,AE,24.47,54.37,0,1551733200,48,64.4,9.17
501,Road Town,VG,18.42,-64.62,40,1551738132,74,80.6,11.41
502,Ulladulla,AU,-35.36,150.48,0,1551737813,94,73.99,8.05
503,Gloversville,US,43.05,-74.34,40,1551738202,48,28.99,13.87
504,Bayanday,RU,53.07,105.52,0,1551738207,60,-0.33,2.71
505,Ambon,FR,47.55,-2.56,0,1551738139,81,48.99,6.93
506,Vung Tau,VN,10.35,107.08,8,1551738207,100,76.72,9.53
507,Moosomin,CA,50.14,-101.67,64,1551738208,82,12.01,19.6
508,Makat,KZ,47.65,53.35,80,1551738208,81,29.11,13.33
509,Marawi,PH,8.0,124.29,0,1551737780,84,70.0,7.0
510,Torbay,CA,47.66,-52.73,90,1551737902,92,25.0,12.75
511,Mitu,IR,36.2,46.09,44,1551738209,87,26.05,2.93
512,Cap Malheureux,MU,-19.98,57.61,40,1551737945,78,80.6,6.93
513,Cidreira,BR,-30.17,-50.22,12,1551738210,64,83.11,15.68
514,Cockburn Town,TC,21.46,-71.14,0,1551738178,95,79.42,10.76
515,Puerto Ayacucho,CO,5.66,-67.63,20,1551733200,39,96.8,3.6
516,Ternate,PH,14.29,120.72,20,1551738181,74,79.0,4.7
517,Sao Jose da Coroa Grande,BR,-8.9,-35.15,92,1551738211,84,80.72,7.07
518,Voyvozh,RU,62.89,54.96,44,1551738211,55,-5.82,5.28
519,Alberton,ZA,-26.25,28.13,12,1551738008,64,72.0,3.6
520,Oktyabrskiy,RU,55.61,37.97,90,1551737360,95,36.0,6.71
521,Dicabisagan,PH,17.08,122.42,88,1551738213,100,70.51,3.94
522,Aden,YE,12.79,45.03,44,1551738213,98,79.06,10.42
523,Nema,RU,57.51,50.5,12,1551738213,59,-7.26,2.93
524,Nikolayevsk-na-amure,RU,53.14,140.72,0,1551738213,64,-0.1,6.96
525,Vanavara,RU,60.35,102.28,76,1551738214,92,21.23,5.17
526,Werda,DE,50.44,12.3,24,1551738202,70,39.99,10.29
527,Taitung,TW,22.76,121.15,92,1551738214,100,63.76,8.86
528,Ler,NO,63.2,10.3,0,1551738015,67,24.01,11.41
